Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-02-03,74.81010437011719,73.86223602294922,358.0,75.98075102109374,74.04657296301339,359.6300048828125,73.24923723777304,72.56743036798406,346.2799987792969,73.75336479143553,72.81851903680833,347.239990234375,173788400,71636000,6670600
2020-02-04,77.27986145019531,72.00946044921875,369.010009765625,77.47133628076568,73.10199650551328,369.57000732421875,76.01468671792693,70.84468413309284,356.1000061035156,76.42186751998584,72.46182298123878,361.0,136616400,95880000,7161500
2020-02-05,77.91004180908203,72.04134368896484,369.6700134277344,78.71228800097798,72.96449562114519,375.25,77.30411523535007,71.22580336725193,362.29998779296875,78.41174339074298,72.91617074068874,375.1300048828125,118826800,36376000,6437000
2020-02-06,78.82135009765625,73.53193664550781,366.95001220703125,78.82377617084421,73.81042993755283,371.54998779296875,77.62161992339047,72.26204220223194,362.510009765625,78.18149548402742,72.33676825821126,369.6000061035156,105425600,37822000,3920400
2020-02-07,77.74994659423828,73.6883773803711,366.7699890136719,78.56867278048205,73.9942677344084,371.79998779296875,77.25676690083851,73.00585396908144,363.57000732421875,78.31843889494655,73.10449541727816,365.0400085449219,117684000,28360000,4385200
2020-02-10,78.1192398071289,75.16053771972656,371.07000732421875,78.1192398071289,75.17149956935405,374.79998779296875,76.2485610979256,73.4935839944387,362.5199890136719,76.328729971042,73.59471884010038,365.0,109348800,38302000,5294100
2020-02-11,77.64791107177734,75.23028564453125,373.69000244140625,78.69015073030005,76.21771113263144,378.1099853515625,77.42926131350245,75.00061892772216,369.7200012207031,78.61726994891447,75.39020550159178,373.75,94323200,34852000,4772900
2020-02-12,79.49189758300781,75.65724182128906,380.010009765625,79.49675383168847,75.74043633057408,380.6199951171875,78.09981497456799,75.16103948219266,375.8800048828125,78.09981497456799,75.51923806383654,377.17999267578125,113730400,31042000,4624800
2020-02-13,78.92582702636719,75.39618682861328,381.3999938964844,79.2538054479268,76.02191687395778,385.3699951171875,78.55655195702208,74.92837735428414,376.510009765625,78.76062560698541,75.22729680616945,376.9599914550781,94747600,22914000,4485400
2020-02-14,78.94525146484375,75.66221618652344,380.3999938964844,79.19548537647773,75.72797967828164,385.1499938964844,78.43506373229454,75.00559231326048,379.42999267578125,78.89422750170591,75.45297562350825,381.4700012207031,80113600,23198000,3736300
2020-02-18,77.49974060058594,75.69759368896484,387.7799987792969,77.68195002206068,76.25158520613671,389.5400085449219,76.43320456144275,75.27761496690005,379.19000244140625,76.61541398291747,75.4435174707526,379.29998779296875,152531200,25642000,5173900
2020-02-19,78.62213134765625,75.96810913085938,386.19000244140625,78.85293286069638,76.2605518097851,392.95001220703125,77.74266859542944,75.77431549389932,384.8999938964844,77.74266859542944,76.08418918563441,388.1199951171875,93984000,22746000,4896400
2020-02-20,77.81554412841797,75.57553100585938,386.0,78.87235994111728,76.07770834757048,389.70001220703125,77.3077882481259,74.94132496189518,376.67999267578125,78.38161204782077,75.67616412195946,386.55999755859375,100566000,25962000,4079400
2020-02-21,76.05419921875,73.90508270263672,380.07000732421875,77.85200453086176,75.27462206552566,387.32000732421875,75.43469023560293,73.6574832677561,377.8999938964844,77.40740945099631,74.95726817378268,385.3299865722656,129554000,42520000,3930100
2020-02-24,72.44161224365234,70.736572265625,368.70001220703125,73.89928775555202,71.55959279941615,372.82000732421875,70.26725072020794,70.08543687850549,361.0,72.21810615040218,70.89549627943762,364.760009765625,222195200,49560000,6936400
2020-02-25,69.98784637451172,69.06563568115234,360.0899963378906,73.49841733255995,71.58300697779833,375.6499938964844,69.51410635342101,68.77170303202607,357.7200012207031,73.11456610148605,71.29156773137504,372.0,230673600,51580000,6481200
2020-02-26,71.09809112548828,69.27238464355469,379.239990234375,72.36870040431434,70.42819845561333,382.0,69.6039758492443,68.57889939705458,365.0,69.61126392711407,69.49707216060908,366.30999755859375,198054800,49776000,8934100
2020-02-27,66.4505386352539,65.51001739501953,371.7099914550781,69.48250516613125,68.2226873655206,391.55999755859375,66.3144895679182,65.4746460468317,370.6000061035156,68.29207211988479,67.7115398365822,371.4599914550781,320605600,62290000,10967700
2020-02-28,66.41165924072266,66.72062683105469,369.0299987792969,67.63853995908428,66.88004494343048,376.7699890136719,62.28401253889323,63.18145503464202,356.79998779296875,62.500237856125615,63.48535365075221,364.2099914550781,426510000,80198000,11168600
2020-03-02,72.59465789794922,69.06563568115234,381.04998779296875,73.2336067493854,69.1229231286208,381.3599853515625,67.47093017221289,66.02067405586332,364.5,68.57876279323048,67.32544584408515,373.1099853515625,341397200,55430000,6997900
2020-03-03,70.28909301757812,66.64441680908203,368.7699890136719,73.85553621045779,70.15518886051058,393.5199890136719,69.43391890589473,66.2219446617251,367.3999938964844,73.77536734454684,69.63158946211831,381.0299987792969,319475600,56602000,8364600
2020-03-04,73.54942321777344,68.83048248291016,383.7900085449219,73.70976836620322,68.88926748762059,384.010009765625,71.21471719102264,66.6085339749811,370.510009765625,72.01886735003644,67.70256753542472,377.7699890136719,219178400,47598000,5487300
2020-03-05,71.16370391845703,65.50055694580078,372.7799987792969,72.77442872757254,67.4370414491301,391.3999938964844,70.79685330071517,64.84692814514692,368.6400146484375,71.7953572173482,67.03449374191095,381.0,187572800,54380000,8747000
2020-03-06,70.21863555908203,64.55299377441406,368.9700012207031,70.65351068690394,64.90222218354712,371.30999755859375,68.32366098027373,62.63345001724397,356.8500061035156,68.51072660724627,63.26815022542305,367.70001220703125,226176800,64640000,8147200
