Date,AAPL,GOOGL,NFLX
2020-01-02,72.7960205078125,68.18681335449219,329.80999755859375
2020-01-03,72.08829498291016,67.83010864257812,325.8999938964844
2020-01-06,72.6626968383789,69.63805389404297,335.8299865722656
2020-01-07,72.32098388671875,69.50354766845703,330.75
2020-01-08,73.48436737060547,69.99825286865234,339.260009765625
2020-01-09,75.04521942138672,70.73309326171875,335.6600036621094
2020-01-10,75.21488189697266,71.18992614746094,329.04998779296875
2020-01-13,76.82180786132812,71.7414321899414,338.9200134277344
2020-01-14,75.78445434570312,71.2711410522461,338.69000244140625
2020-01-15,75.45964813232422,71.7000732421875,339.07000732421875
2020-01-16,76.40492248535156,72.24610137939453,338.6199951171875
2020-01-17,77.25080871582031,73.70880126953125,339.6700134277344
2020-01-21,76.72727966308594,73.84481048583984,338.1099853515625
2020-01-22,77.00116729736328,73.9255142211914,326.0
2020-01-23,77.37199401855469,73.96636962890625,349.6000061035156
2020-01-24,77.14899444580078,73.04370880126953,353.1600036621094
2020-01-27,74.88040161132812,71.32793426513672,342.8800048828125
2020-01-28,76.99871826171875,72.26304626464844,348.5199890136719
2020-01-29,78.6104736328125,72.57191467285156,343.1600036621094
2020-01-30,78.49658966064453,72.44986724853516,347.739990234375
2020-01-31,75.01612091064453,71.38024139404297,345.0899963378906
2020-02-03,74.81010437011719,73.86223602294922,358.0
2020-02-04,77.27986145019531,72.00946044921875,369.010009765625
2020-02-05,77.91004180908203,72.04134368896484,369.6700134277344
2020-02-06,78.82135009765625,73.53193664550781,366.95001220703125
2020-02-07,77.74994659423828,73.6883773803711,366.7699890136719
2020-02-10,78.1192398071289,75.16053771972656,371.07000732421875
2020-02-11,77.64791107177734,75.23028564453125,373.69000244140625
2020-02-12,79.49189758300781,75.65724182128906,380.010009765625
2020-02-13,78.92582702636719,75.39618682861328,381.3999938964844
2020-02-14,78.94525146484375,75.66221618652344,380.3999938964844
2020-02-18,77.49974060058594,75.69759368896484,387.7799987792969
2020-02-19,78.62213134765625,75.96810913085938,386.19000244140625
2020-02-20,77.81554412841797,75.57553100585938,386.0
2020-02-21,76.05419921875,73.90508270263672,380.07000732421875
2020-02-24,72.44161224365234,70.736572265625,368.70001220703125
2020-02-25,69.98784637451172,69.06563568115234,360.0899963378906
2020-02-26,71.09809112548828,69.27238464355469,379.239990234375
2020-02-27,66.4505386352539,65.51001739501953,371.7099914550781
2020-02-28,66.41165924072266,66.72062683105469,369.0299987792969
2020-03-02,72.59465789794922,69.06563568115234,381.04998779296875
2020-03-03,70.28909301757812,66.64441680908203,368.7699890136719
2020-03-04,73.54942321777344,68.83048248291016,383.7900085449219
2020-03-05,71.16370391845703,65.50055694580078,372.7799987792969
2020-03-06,70.21863555908203,64.55299377441406,368.9700012207031
2020-03-09,64.66490173339844,60.5699348449707,346.489990234375
2020-03-10,69.3221664428711,63.52820587158203,364.1300048828125
2020-03-11,66.91458892822266,60.32630920410156,349.9200134277344
2020-03-12,60.30644226074219,55.37675476074219,315.25
2020-03-13,67.53165435791016,60.494205474853516,336.29998779296875
2020-03-16,58.84391784667969,53.45621871948242,298.8399963378906
2020-03-17,61.43128967285156,55.70107650756836,319.75
2020-03-18,59.92744827270508,54.362430572509766,315.4700012207031
2020-03-19,59.468292236328125,55.38273239135742,332.0299987792969
2020-03-20,55.69290542602539,53.21757888793945,332.8299865722656
2020-03-23,54.50975799560547,52.5161247253418,360.2699890136719
2020-03-24,59.97847366333008,56.29642105102539,357.32000732421875
2020-03-25,59.64806365966797,54.88204574584961,342.3900146484375
2020-03-26,62.78694152832031,57.935977935791016,362.989990234375
2020-03-27,60.187400817871094,55.31248474121094,357.1199951171875
2020-03-30,61.905033111572266,57.10847473144531,370.9599914550781
2020-03-31,61.7786979675293,57.88765335083008,375.5
2020-04-01,58.528079986572266,54.90596008300781,364.0799865722656
2020-04-02,59.50472640991211,55.6497688293457,370.0799865722656
2020-04-03,58.64956283569336,54.43765640258789,361.760009765625
2020-04-06,63.7659912109375,58.94581604003906,379.9599914550781
2020-04-07,63.02743911743164,58.9144287109375,372.2799987792969
2020-04-08,64.6406021118164,60.132015228271484,371.1199951171875
2020-04-09,65.10706329345703,60.110591888427734,370.7200012207031
2020-04-13,66.38494873046875,60.301902770996094,396.7200012207031
2020-04-14,69.73760223388672,63.03300476074219,413.54998779296875
2020-04-15,69.1010971069336,62.63793182373047,426.75
2020-04-16,69.65015411376953,62.644405364990234,439.1700134277344
2020-04-17,68.70507049560547,63.71901321411133,422.9599914550781
2020-04-20,67.27898406982422,62.82973861694336,437.489990234375
2020-04-21,65.19937133789062,60.38908386230469,433.8299865722656
2020-04-22,67.07733917236328,62.693233489990234,421.4200134277344
2020-04-23,66.81741333007812,63.32892990112305,426.70001220703125
2020-04-24,68.74637603759766,63.59944534301758,424.989990234375
2020-04-27,68.79498291015625,63.313480377197266,421.3800048828125
2020-04-28,67.67985534667969,61.40689468383789,403.8299865722656
2020-04-29,69.9028091430664,66.8666000366211,411.8900146484375
2020-04-30,71.37749481201172,67.09178924560547,419.8500061035156
2020-05-01,70.22835540771484,65.62808990478516,415.2699890136719
2020-05-04,71.22201538085938,65.90608215332031,428.1499938964844
2020-05-05,72.29096221923828,67.20736694335938,424.67999267578125
2020-05-06,73.03681182861328,67.02851867675781,434.260009765625
2020-05-07,73.7923583984375,68.21671295166016,436.5299987792969
2020-05-08,75.54875183105469,68.96699523925781,435.54998779296875
2020-05-11,76.73755645751953,69.92601013183594,440.5199890136719
2020-05-12,75.86056518554688,68.5106430053711,431.82000732421875
